year,count,cowcode,Static_median,Static_975,Static_025,Dynamic_median,Dynamic_975,Dynamic_025,Robust_median,Robust_975,Robust_025,UDS_mean,UDS_sd,UDS_median,UDS_025,UDS_975
1946,United States,2,1.064367428,1.694915478,0.585042384,1.523357942,1.975816972,1.169929971,2.195430677,2.653628221,1.886992608,1.086431078,0.296274406,1.072742593,0.542473403,1.694063258
1946,Uruguay,165,0.417309467,0.875514362,0.050273014,0.020966855,0.340386123,-0.257391957,-0.322008689,-0.151239346,-0.503681354,0.346527756,0.197215049,0.343350167,-0.027665128,0.736190004
1946,Venezuela,101,-0.0941568,0.228998583,-0.396858937,-0.32794935,-0.07008875,-0.582359513,-0.745684046,-0.576083616,-0.917845145,-0.010706968,0.127509321,-0.01140947,-0.254455585,0.243391969
1946,Yemen North,678,-1.298017567,-0.579264069,-1.922252899,-1.23313967,-0.882429681,-1.561336695,-2.06575665,-1.838530386,-2.353483667,-1.291874422,0.32719466,-1.290021712,-1.931278153,-0.660537435
1946,Yugoslavia (Serbia),345,-0.845246018,-0.342176389,-1.437439997,-0.980984026,-0.663358854,-1.314632034,-1.56285957,-1.285557541,-1.844049833,-0.898892162,0.294369931,-0.896006634,-1.480431087,-0.342900174
1947,Afghanistan,700,-1.844868121,-0.995006533,-3.001155653,-2.027150087,-1.631443952,-2.545828092,-2.657889952,-2.339480143,-3.116909166,-1.869185047,0.48736698,-1.818080374,-2.958102124,-1.047167809
1947,Albania,339,-1.307982435,-0.649132229,-1.922797557,-1.516866396,-1.214521148,-1.832369748,-2.182386648,-1.927083109,-2.438031532,-1.297942028,0.317958984,-1.293759916,-1.937787748,-0.694557464
1947,Argentina,160,0.0336091,0.374462834,-0.359341186,-0.8596514,-0.41735409,-1.260524178,-2.036359307,-1.833849724,-2.244936724,-0.068995363,0.12598251,-0.071631989,-0.304518107,0.187810741
1947,Australia,900,1.202987402,1.855686595,0.674552677,1.958642509,2.515251615,1.475099641,2.722505662,3.308923034,2.167735829,1.229944919,0.319826655,1.216627402,0.648260513,1.885994588
1947,Austria,305,1.05937466,1.701259217,0.563075751,1.778580878,2.312218336,1.345562508,2.870153747,3.607021924,2.121652141,1.091943054,0.298751446,1.080479451,0.535172073,1.705786914
1947,Belgium,211,0.942909396,1.599619417,0.445344709,1.533513075,1.992763158,1.191323945,2.386819695,2.952507695,1.971327178,0.970494272,0.277734449,0.958456025,0.466171704,1.55376268
1947,Bhutan,760,-1.838341071,-1.014764243,-2.871467603,-2.293015676,-1.754635972,-3.174460908,-2.779871127,-2.375590391,-3.484792501,-1.871888701,0.478802359,-1.832920528,-2.973311101,-1.056513571
1947,Bolivia,145,-0.561342528,-0.154769837,-1.119534069,-0.587699033,-0.346992102,-0.836703435,-1.027514829,-0.850401689,-1.197486555,-0.66021625,0.25098443,-0.639501813,-1.197184622,-0.220770007
1947,Brazil,140,0.352343273,0.744406775,0.034702261,0.327736806,0.584167551,0.104795434,0.486948067,0.658884731,0.289730097,0.346558155,0.195188588,0.343072826,-0.027400018,0.738649412
1947,Bulgaria,355,-0.841299874,-0.326237802,-1.449638873,-0.895969836,-0.627897185,-1.20156347,-1.430160155,-1.227181757,-1.717572758,-0.90499762,0.299281597,-0.890914481,-1.527704312,-0.344270906
1947,Canada,20,1.201295653,1.871410244,0.66350187,1.64213284,2.089472668,1.277993696,2.27576919,2.726474423,1.92879862,1.225601191,0.318098199,1.20678591,0.665864302,1.903281123
1947,Chile,155,0.136511248,0.455443308,-0.154883733,0.009851951,0.238730381,-0.208309776,-0.071812876,0.089222443,-0.240355878,0.114241291,0.178842674,0.116301515,-0.226579255,0.466979689
1947,China,710,-0.557151702,-0.148658394,-1.116981711,-0.64343002,-0.41792005,-0.922018666,-1.031564983,-0.854988335,-1.203183031,-0.640681596,0.253964089,-0.632282555,-1.156197911,-0.170557723
1947,Colombia,100,0.200723409,0.527150273,-0.090727404,0.096535659,0.325459743,-0.138036781,0.410555458,0.600756738,0.215282193,0.163810789,0.13387582,0.163868032,-0.102752594,0.421209287
1947,Costa Rica,94,0.34233636,0.636155292,0.066104992,0.981059307,1.336613909,0.598441564,2.022295898,2.25983562,1.809510211,0.368373013,0.146925981,0.368088655,0.079111933,0.655958556
1947,Cuba,40,0.362058147,0.760562133,0.039508829,0.141462226,0.3994004,-0.092008896,0.05308375,0.202986688,-0.109517396,0.342017491,0.200853538,0.336306045,-0.041520749,0.754290416
1947,Czechoslovakia,315,0.230728078,0.677956073,-0.172192702,-0.184702261,0.084430674,-0.4320791,-0.503847084,-0.338243662,-0.677640277,0.332982888,0.182630093,0.329565954,-0.013818493,0.69267396
1947,Denmark,390,1.430991052,2.086502836,0.844275589,1.812486283,2.336871803,1.397467888,2.566637715,3.158860006,2.058068671,1.422858981,0.349255833,1.400910811,0.794079964,2.161550275
1947,Dominican Rep,42,-1.306353114,-0.626329168,-1.922988715,-1.516413418,-1.220292727,-1.83506767,-2.183874402,-1.927611463,-2.439338401,-1.295830331,0.322867233,-1.287109646,-1.954207379,-0.67779632
1947,Ecuador,130,-0.41153418,-0.02464867,-0.967621623,-0.247954046,-0.021930111,-0.489065652,-0.486712983,-0.319838502,-0.659823384,-0.516724148,0.219250665,-0.500252308,-0.976158279,-0.136576202
1947,Egypt,651,-0.352713358,0.028391199,-0.908714684,-0.199012937,0.033511897,-0.445390815,-0.21307097,-0.058406352,-0.378411987,-0.415648132,0.227572411,-0.409785089,-0.883692066,0.010033481
1947,El Salvador,92,-1.08475187,-0.512983457,-1.635277722,-1.197839094,-0.932900067,-1.479523126,-1.872401642,-1.673192034,-2.068820989,-1.1087466,0.302199351,-1.098160088,-1.713852396,-0.540741895
1947,Ethiopia,530,-1.313048031,-0.642742027,-1.935129503,-1.534527481,-1.235876339,-1.855685449,-2.191030189,-1.934856415,-2.445245994,-1.288923515,0.321094809,-1.288829121,-1.920378114,-0.680517448
1947,Finland,375,0.797653929,1.41929211,0.297402934,1.447563451,1.824437048,1.140135075,2.156770275,2.583596357,1.880870469,0.751667582,0.245070754,0.739861564,0.304232225,1.259603266
1947,France,220,1.417428297,2.103123119,0.842049337,2.087719447,2.648931697,1.584172403,2.95152878,3.550760508,2.379602832,1.417705549,0.350324512,1.396174319,0.780734136,2.15321746
1947,Greece,350,0.184212284,0.587657474,-0.189854655,0.532961887,0.813335465,0.254251543,1.132318992,1.379765747,0.931600699,0.144347774,0.179572011,0.146304417,-0.215403155,0.495830587
1947,Guatemala,90,0.297776959,0.588350609,0.022860268,0.268445604,0.49736656,0.041460548,0.436272976,0.614238928,0.247110496,0.21022234,0.122491283,0.212855186,-0.036038509,0.442875788
