"prob.shock","innov","type","data.id","gel","gew","intra.ranks","ranks","crossclass","crossclass.shocked","rmse","T..24","T..23","T..22","T..21","T..20","T..19","T..18","T..17","T..16","T..15","T..14","T..13","T..12","T..11","T..10","T..9","T..8","T..7","T..6","T..5","T..4","T..3","T..2","T..1","T.0","T.1","T.2","T.3","T.4","T.5","T.6","T.7","T.8","T.9","T.10","T.11","T.12","T.13","T.14","T.15","T.16","T.17","T.18","T.19","T.20","T.21","T.22","T.23","T.24"
0,0.1,"rob_dof",54,6,0.22,0.314285714285714,0.771428571428571,0.875209826228846,NA,0.123277715749242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.05,"rob_dof",37,0,4e-04,0.353469387755102,0.895510204081633,0.988311601204323,NA,0.0731192894929044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.1,"rob_dof",55,0,0.2046,0.506938775510204,0.879183673469388,0.954201858731531,NA,0.136700015881739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1,0.1,"rob_dof",220,635,0.3284,0.480816326530612,0.593469387755102,0.880800538961203,0.83461117196057,0.751502572639611,0.75,0.25,0.4,0.4,0.6,0.8,0.75,0.625,0.7,0.727272727272727,0.692307692307692,0.625,0.736842105263158,0.708333333333333,0.666666666666667,0.707317073170732,0.617021276595745,0.575757575757576,0.565789473684211,0.584269662921348,0.583333333333333,0.585185185185185,0.602484472049689,0.579234972677596,0.594936708860759,0.621468926553672,0.606451612903226,0.6171875,0.594059405940594,0.5625,0.542857142857143,0.491228070175439,0.428571428571429,0.513513513513513,0.481481481481481,0.523809523809524,0.555555555555556,0.133333333333333,0.181818181818182,0.1,0.125,0.25,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.714285714285714,0.571428571428571,0.6
0.1,0.1,"rob_dof",218,156,0.0766,0.461224489795918,0.565714285714286,0.79656205631055,0.757709251101322,0.713959634787879,0.5,0.285714285714286,0.428571428571429,0.428571428571429,0.285714285714286,0.428571428571429,0.444444444444444,0.4,0.545454545454545,0.533333333333333,0.5,0.444444444444444,0.368421052631579,0.391304347826087,0.413793103448276,0.421052631578947,0.431372549019608,0.490909090909091,0.507246376811594,0.588235294117647,0.611111111111111,0.589147286821705,0.626506024096386,0.636871508379888,0.622881355932203,0.587209302325581,0.606451612903226,0.57258064516129,0.533980582524272,0.560975609756098,0.507692307692308,0.517857142857143,0.510204081632653,0.638888888888889,0.7,0.615384615384615,0.611111111111111,0.461538461538462,0.454545454545455,0.5,0.571428571428571,0.6,0.4,0.8,0.6,0.75,0.666666666666667,0.666666666666667,0.666666666666667
0.01,0.01,"rob_dof",92,0,0.1236,0.193469387755102,0.856326530612245,0.835177243431338,0.777027027027027,0.150728572394916,0.333333333333333,0.333333333333333,0.625,0.666666666666667,0.8,0.7,0.727272727272727,0.727272727272727,0.727272727272727,0.727272727272727,0.692307692307692,0.75,0.764705882352941,0.777777777777778,0.75,0.818181818181818,0.826086956521739,0.826086956521739,0.826086956521739,0.875,0.92,0.923076923076923,0.928571428571429,0.933333333333333,0.838709677419355,0.9,0.931034482758621,0.928571428571429,0.928571428571429,0.857142857142857,0.821428571428571,0.857142857142857,0.814814814814815,0.777777777777778,0.777777777777778,0.777777777777778,0.777777777777778,0.84,0.80952380952381,0.857142857142857,0.8,0.8,0.736842105263158,0.736842105263158,0.722222222222222,0.647058823529412,0.647058823529412,0.647058823529412,0.647058823529412
0.01,0.05,"rob_dof",110,98,0.0342,0.415510204081633,0.859591836734694,0.807327269458232,0.79746835443038,0.206382238591848,1,1,1,1,1,1,1,1,1,0.9375,0.941176470588235,0.947368421052632,0.95,0.95,0.956521739130435,1,0.96,0.923076923076923,0.962962962962963,0.925925925925926,0.928571428571429,0.9,0.838709677419355,0.8125,0.84375,0.84375,0.838709677419355,0.827586206896552,0.846153846153846,0.84,0.875,0.869565217391304,0.952380952380952,0.952380952380952,1,1,0.944444444444444,0.941176470588235,1,1,0.857142857142857,0.928571428571429,0.846153846153846,0.846153846153846,0.916666666666667,1,0.916666666666667,0.833333333333333,1
0.01,0.1,"rob_dof",145,1,0.1542,0.492244897959184,0.835102040816327,0.921354081792452,0.854545454545454,0.240774277474744,1,0.923076923076923,1,0.769230769230769,0.769230769230769,0.857142857142857,0.857142857142857,0.857142857142857,0.866666666666667,0.866666666666667,0.941176470588235,0.882352941176471,0.842105263157895,0.894736842105263,0.80952380952381,0.909090909090909,0.791666666666667,0.769230769230769,0.857142857142857,0.785714285714286,0.806451612903226,0.806451612903226,0.75,0.696969696969697,0.823529411764706,0.787878787878788,0.878787878787879,0.9,0.866666666666667,0.76,0.8,0.84,0.869565217391304,0.904761904761905,0.95,0.888888888888889,0.941176470588235,0.941176470588235,0.941176470588235,0.875,0.857142857142857,0.785714285714286,0.818181818181818,0.888888888888889,0.777777777777778,1,0.875,1,0.833333333333333
0.01,0.1,"rob_dof",141,188,0.1802,0.546122448979592,0.828571428571429,0.89873687520822,0.929133858267717,0.285989025241021,0.8,0.8,1,1,1,1,1,1,0.888888888888889,1,1,1,1,1,1,0.933333333333333,0.9375,0.882352941176471,0.947368421052632,0.947368421052632,0.95,0.80952380952381,0.8,0.777777777777778,0.892857142857143,0.92,0.863636363636364,0.9,0.9,0.9,0.85,0.941176470588235,0.941176470588235,0.9375,1,1,1,1,1,1,1,1,1,0.909090909090909,0.909090909090909,0.9,0.9,0.9,0.9
0.1,0.1,"rob_dof",213,362,0.1512,0.593469387755102,0.722448979591837,0.939907259793243,0.941534713763703,2.92096969431763,1,0.888888888888889,0.777777777777778,0.9,0.909090909090909,0.75,0.875,0.823529411764706,0.842105263157895,0.8,0.857142857142857,0.916666666666667,0.92,0.931034482758621,0.941176470588235,0.883720930232558,0.849056603773585,0.890625,0.896103896103896,0.893617021276596,0.863636363636364,0.84,0.837837837837838,0.848484848484849,0.838862559241706,0.866242038216561,0.871428571428571,0.88695652173913,0.927083333333333,0.916666666666667,0.91044776119403,0.927272727272727,0.888888888888889,0.911764705882353,0.91304347826087,0.947368421052632,0.857142857142857,0.857142857142857,0.923076923076923,0.818181818181818,0.818181818181818,0.8,0.888888888888889,0.875,1,1,1,1,1
