"justiceName","term","id","justice","Robust_mean","Robust_975","Robust_025","Dynamic_mean","Dynamic_975","Dynamic_025","MQ_mean","MQ_sd","MQ_median","MQ_025","MQ_975"
"AMKennedy",2012,"AMKennedy-2012",106,0.307424895995969,0.824967975324093,-0.196050553266162,0.273374358735518,0.756605889740101,-0.224992398861778,0.233,0.205,0.23,-0.166,0.64
"AMKennedy",2013,"AMKennedy-2013",106,0.072011919551315,0.662445452513187,-0.530739612007674,0.0251013748341442,0.561127553393261,-0.524391555289852,0.04,0.234,0.038,-0.415,0.501
"AMKennedy",2014,"AMKennedy-2014",106,-0.339228319751116,0.237247223533931,-1.00272615023509,-0.339629347425875,0.218807848689804,-0.88648913010363,-0.29,0.222,-0.287,-0.731,0.14
"AMKennedy",2015,"AMKennedy-2015",106,-0.498651880197483,0.167151931054762,-1.2345328494618,-0.528521745640383,0.120419194307531,-1.19552681734121,-0.448,0.278,-0.443,-1.007,0.085
"AScalia",1986,"AScalia-1986",105,2.46692695245985,2.95056649662737,2.01621291952644,2.45053603980131,2.95493537869973,1.95883575427605,1.426,0.239,1.412,0.985,1.923
"AScalia",1987,"AScalia-1987",105,2.58409006401582,3.20842988511338,2.03071944479981,2.60408450265252,3.23404691318503,2.0107692206169,1.643,0.249,1.635,1.181,2.148
"AScalia",1988,"AScalia-1988",105,2.74834692074504,3.46769606626759,2.10564098322325,2.79095637210965,3.45704662035081,2.14510612777431,1.811,0.264,1.802,1.304,2.343
"AScalia",1989,"AScalia-1989",105,2.99534147073228,3.81966005842392,2.28680721340128,3.03379212897265,3.73503517702943,2.34090972811693,2.012,0.277,2.004,1.492,2.582
"AScalia",1990,"AScalia-1990",105,3.22477155298851,4.15197334957247,2.42276341342696,3.25780813285434,4.04016767113464,2.4827623571062,2.194,0.306,2.187,1.619,2.82
"AScalia",1991,"AScalia-1991",105,3.61326574211026,4.72968556436171,2.74117603176011,3.57649667518404,4.41329399002312,2.76787487062622,2.536,0.321,2.526,1.929,3.187
"AScalia",1992,"AScalia-1992",105,3.73445989274679,4.78883706304545,2.81617194393095,3.70041396266501,4.56198144941982,2.90135668880316,2.574,0.356,2.56,1.913,3.29
